feature,mean_abs_shap
WP_avg_fav,0.45928133551869527
z_rel,0.33621416106100166
WP_avg_entropy,0.1515932834441145
WP_std,0.10310171574525806
GameWinRateEffSurfDiff,0.09272581272080047
WP_range,0.08224625164330483
WinRateTotalSmoothedDiff,0.07281225641007776
EffSurfFocusFavDiff,0.07159973018547172
DaysSinceLossDiff,0.07018198846703996
EffSurfMatchesLogFavDiff,0.057319292319005476
AgeDiff,0.056204588613484284
WinRateEffSurfDiff,0.05236403252495888
TSScale_avg,0.0443443988215367
FavSurfaceUplift,0.04068065920785142
z_avg_fav,0.040069135146470904
DaysSinceWinDiff,0.03840071536687476
OppSurfaceUplift,0.035998328240631684
z_std_fav,0.023424893981746082
RestDaysFavMinusOpp,0.019995648696887986
SetWinRateEffSurfDiff,0.01915310693848212
PrizeLog,0.01785638718653227
FormEffSurfCompositeDiff,0.016312739657264205
RecencySlope_MminusY,0.01620170542141876
RecencySlopeEff_MminusY,0.016129631927773423
WinRateEffSurfSmoothedDiff,0.01519611982862323
EffSurfWeight,0.014917894024606441
SurfaceUpliftDiff,0.013844040050475136
PrimeProxAdv,0.013460348685209308
FormCompositeDiff,0.011941931566487504
SeasonMonth_sin,0.011939565378690363
RecencySlopeEff_WminusM,0.011179917288818144
AgeDiff_sq,0.008552181335225499
RecencySlope_WminusM,0.00803058155596916
StreakDiff,0.0075180908558792675
SeasonMonth_cos,0.006409182915326183
PlaysMismatch,0.0035463822545951187
FavIsHome,0.0032845710324724497
PrizeMissing,0.001987317916581639
IsSurf1,0.0
FavHome_S4,0.0
FavHome_S3,0.0
FavHome_S2,0.0
FavHome_S1,0.0
IsSurf4,0.0
IsSurf2,0.0
IsSurf3,0.0
